"accociation name",basicinformationtype,"localcall service",countycode,address
玉美人孕婦裝觀光工廠,"台灣媽咪MIT好""孕""到",(02)89669762,65000,新北市板橋區四川路2段16巷10號5樓
茶山房肥皂文化體驗館,"植覺選的料鍋爐煮的皂 ",(02)26714400,65000,新北市三峽區白雞路64之11號
維格餅家鳳梨酥夢工場,鳳梨小金磚好運旺旺來,(02)22919122,65000,新北市五股區成泰路1段87號
琉傳天下琉星花園,光與熱共舞的華麗演出,(02)26256972,65000,新北市淡水區忠寮里口湖子1-7號
手信坊創意和菓子文化館,觸動五感的日本文化享受,(02)82620506,65000,新北市土城區國際路55號
許新旺陶瓷紀念博物館,你儂我儂陶藝傳情,(02)26789571,65000,新北市鶯歌區尖山埔路81號
卡滋爆米花觀光工廠樂園,飛天爆米花奇幻之旅,(02)86303886,65000,新北市八里區觀海大道171號
台灣不二衛生套知識館,最柔軟卻最堅韌的力量,(02)37655005,65000,新北市淡水區行忠路132號
王鼎時間科藝體驗館,"結合科藝 抽象時間具體化","(02)22682999 ",65000,新北市土城區大暖路136號
台灣農林大寮茶文館,「茶文化館」重現茶場風華,"(02)26681928 ",65000,新北市三峽區竹崙路142巷2號
吳福洋襪子故事館,老襪廠對品質的堅持,"(02)26016503 ",65000,新北市林口區工二工業區工九路3號
阮的肉干產業概念館,食尚的創意肉干,"(02)29805576 ",65000,新北市三重區重新路4段27號1樓
坪林茶產業文化館,茶農與土地的故事,(02)26657227,65000,"新北市坪林區坪林街103號 "
印地安皮革創意工場,天然無毒的環保皮革,(02)29991516,65000,新北市三重區中興北街136巷28號
安美得傷口照護產業文化館,供妥善的傷口照護解決方案,(02)22982151,65000,新北市五股區五權路7巷6號8樓
輕寵物寵物飲食概念所,狗狗愛輕食天然寵物料理,(02)29972777,65000,新北市新莊區思源路39號
愛皮嘻時尚文創工坊,結合袋包產業與手作的時尚,(02)29998030,65000,新北市三重區光復路一段61巷27號4樓
王子創意文具國,橡皮擦發家揚名國際文具,(02)25783927,65000,新北市林口區粉寮路一段86號
聖瑪莉丹麥麵包莊園,丹麥麵包訴說烘焙故事,(02)22689600,65000,新北市土城區中山路21號
連淨綠色科技概念館,苦茶油結合科技與創新農業,(0800)585598,65000,新北市新店區寶興路45巷9弄2號
豐得好食觀光工廠,用真感情傳承對食材的執著,(02)22980002,65000,新北市五股區五權路48號1樓
啤酒頭釀造觀光酒廠,精釀在地風味、挺進國際傳香,(02)85110085,65000,新北市三重區中興北街50號
